Verification SOP Class, 1.2.840.10008.1.1 
Computed Radiography Image, 1.2.840.10008.5.1.4.1.1.1
Storage CT Image Storage, 1.2.840.10008.5.1.4.1.1.2
Hardcopy Color Image Storage, 1.2.840.10008.5.1.1.30
Hardcopy Grayscale Image Storage, 1.2.840.10008.5.1.1.29
MR Image Storage, 1.2.840.10008.5.1.4.1.1.4
Enhanced MR Image Storage, 1.2.840.10008.5.1.4.1.1.4.1
MR Spectroscopy Storage, 1.2.840.10008.5.1.4.1.1.4.2
Raw Data Storage, 1.2.840.10008.5.1.4.1.1.66
Nuclear Medicine Image Storage, 1.2.840.10008.5.1.4.1.1.20
Positron Emission Tomography, 1.2.840.10008.5.1.4.1.1.128
Image Storage RT Dose Storage, 1.2.840.10008.5.1.4.1.1.481.2
RT Image Storage, 1.2.840.10008.5.1.4.1.1.481.1
RT Plan Storage, 1.2.840.10008.5.1.4.1.1.481.5
RT Structure Set Storage, 1.2.840.10008.5.1.4.1.1.481.3
RT Beams Treatment Record Storage, 1.2.840.10008.5.1.4.1.1.481.4
RT Brachy Treatment Record, 1.2.840.10008.5.1.4.1.1.481.6
Storage RT Treatment Summary Record Storage, 1.2.840.10008.5.1.4.1.1.481.7
Secondary Capture Image Storage, 1.2.840.10008.5.1.4.1.1.7
Multi-frame Single Bit Secondary Capture Image Storage, 1.2.840.10008.5.1.4.1.1.7.1
Multi-frame Grayscale Byte Secondary Capture Image Storage, 1.2.840.10008.5.1.4.1.1.7.2
Multi-frame Grayscale Word Secondary Capture Image Storage, 1.2.840.10008.5.1.4.1.1.7.3 
Multi-frame True Color Secondary Capture Image Storage, 1.2.840.10008.5.1.4.1.1.7.4
Capture Image StorageStand-alone Curve Storage, 1.2.840.10008.5.1.4.1.1.9
12-lead ECG Waveform Storage, 1.2.840.10008.5.1.4.1.1.9.1.1
General ECG Waveform Storage, 1 .2.840.10008.5.1.4.1.1.9.1.2
Ambulatory ECG Waveform Storage, 1.2.840.10008.5.1.4.1.1.9.1.3
Hemodynamic Waveform Storage, 1.2.840.10008.5.1.4.1.1.9.2.1
Cardiac Electrophysiology Waveform Storage, 1 .2.840.10008.5.1.4.1.1.9.3.1
Basic Voice Audio Waveform Storage, 1.2.840.10008.5.1.4.1.1.9.4.1
Stand-alone Modality LUT Storage, 1.2.840.10008.5.1.4.1.1.10
Stand-alone Overlay Storage, 1.2.840.10008.5.1.4.1.1.8
Stand-alone VOI LUT Storage, 1.2.840.10008.5.1.4.1.1.11
Grayscale Softcopy Presentation State Storage, 1.2.840.10008.5.1.4.1.1.11.1
Standalone PET Curve Storage, 1.2.840.10008.5.1.4.1.1.129
Stored Print Storage, 1.2.840.10008.5.1.1.27
Ultrasound Image Storage, 1.2.840.10008.5.1.4.1.1.6.1
Ultrasound Multi-frame Image, 1.2.840.10008.5.1.4.1.1.3.1
Storage X-Ray Angiographic Image, 1.2.840.10008.5.1.4.1.1.12.1
Storage X-Ray Radiofluoroscopic Image Storage, 1.2.840.10008.5.1.4.1.1.12.2
Digital X-Ray Image Storage - For Presentation, 1.2.840.10008.5.1.4.1.1.1.1
Digital X-Ray Image Storage - For Processing, 1.2.840.10008.5.1.4.1.1.1.1.1
Digital Mammography Image Storage - For Presentation, 1.2.840.10008.5.1.4.1.1.1.2
Digital Mammography Image Storage - For Processing, 1.2.840.10008.5.1.4.1.1.1.2.1
Digital Intra-oral X-Ray Image Storage - For Presentation, 1.2.840.10008.5.1.4.1.1.1.3
Digital Intra-oral X-Ray Image Storage - For Processing, 1.2.840.10008.5.1.4.1.1.1.3.1
VL Endoscopic Image Storage, 1.2.840.10008.5.1.4.1.1.77.1.1
VL Microscopic Image Storage, 1.2.840.10008.5.1.4.1.1.77.1.2
VL Slide-Coordinates Microscopic Image Storage, 1.2.840.10008.5.1.4.1.1.77.1.3
VL Photographic Image Storage, 1.2.840.10008.5.1.4.1.1.77.1.4
Basic Text SR, 1.2.840.10008.5.1.4.1.1.88.11
